giros:ImporteTotal_fld|S
giros:ImporteNeto|S
giros:TasaSinIva_fld|S
giros:IvaTasa_fld|S
post:adt_tarif_fijo_des|S
post:adt_tarif_fj_aliciva|S
giros:imp_serv_siniva|S
giros:imp_serv_iva|S
giros:tipo_giro_fld|S
post:NroCompPago2|S
post:NroTransac|S
post:cod_banco|S
post:nro_cheque|S
post:adt_fecPoliza_web|S
post:adt_pmaux_codmat|S
post:adt_pmaux_cant|S
giros:clave_hdr_prev|S
post:jnl_interes_diferido|S
post:jnl_iva_int_dif|S
post:iva_Porcentaje|S
post:CliUP|S
post:monto_chk_dif|S
post:climed_tipo|S
tes:banco_codigo|S
siaf:nro_cheque|S
post:imp_aux|S
siaf:f_vencimiento|S
post:ConvenioProducto|S
post:ConvenioSesion|S
post:ConvenioSesionV|S
post:ExcepProducto|S
post:ExcepSesion|S
post:ExcepSinLinea|S
post:PreDNroTrnAsoc|S
post:adt_sap_adua_web|S
post:adt_importe_adua_web|S
post:adt_alicuo_adua_web |S
post:ImporteSinIva_adua|S
post:adt_sap_entr_web|S
post:adt_importe_entr_web|S
post:adt_alicuo_entr_web|S
post:ImporteSinIva_entr|S
post:adt_nroPoliza_web|S
post:EnPol_Poliza|S
post:EnPol_ImpPoliza|S
post:EnPol_TasaPresAd|S
post:EnPol_IvaPresAd|S
post:EnPol_TasaGestEn|S
post:EnPol_ImpGestEn|S
post:EnPol_IvaGestEn|S
post:GestSinIva|S
post:PresSinIva|S
post:EnPol_Transac|S
post:EnPol_GesEnt|S
post:EnPol_PresAd|S
tele:tele_nro_telegrama|S
tele:imp_serv_tele|S
tele:imp_siniva_serv|S
post:imp_bloques_siva|S
tele:adt_cattel_nemonico|S
post:codigo_barras|S
post:cliente_on_site|S
post:operativo_on_site|S
post:benef_on_site|S
post:adt_benTmp_operativo|S
post:adt_benTmp_benef|S
post:adt_benTmp_importe|S
post:adt_benTmp_cli|S
post:adt_benTmp_pag_tipoD|S
post:adt_benTmp_pag_NroD|S
giros:nro_sesion_lg|S
post:IvaBasCalc|S
